# Two-light halts only. Aaron, 2026-08-30. `Side Awarded` is who the referee
# gave the action to, i.e. who held PRIORITY -- not necessarily who scored:
# on a mixed halt an off-target hit by the priority holder annuls and nothing
# is awarded. Single-lamp halts are absent by design, so Score JUMPS between
# rows and is NOT a checksum here.
Score	Time stamp	Left	Right	Side Awarded
1:2	01:25.018	valid	valid	right
1:4	02:03.088	valid	valid	right
2:5	02:30.550	valid	valid	left
5:9	05:27.593	valid	valid	right
9:11	07:40.593	valid	valid	left
9:12	08:09.555	valid	valid	right
10:12	08:20.867	valid	valid	left
11:12	08:30.910	valid	valid	left
12:12	08:41.020	valid	valid	left
12:13	09:17.490	valid	valid	right
12:15	12:23.008	valid	valid	right
