# DRAFT for Bout #1 without break (1).mp4  -- NOTE: this is NOT 4.mp4.
# Aaron's real labels for 4.mp4 are bout4_intervals_2track.csv., 30-330s, generated by
# scripts/draft_labels.py. NOT ground truth -- the model runs at ~42%.
#
# CORRECT THIS FILE, do not trust it:
#  - every boundary is a guess; the model is weakest exactly where it
#    matters (lunge recall 9-19%, parry 0%)
#  - PARRIES ARE ABSENT. The blade column is `none` throughout because
#    the model scores 0% on parry across three bouts and two
#    architectures. Every parry must be added by hand.
#  - rows marked TODO had mean confidence below 0.45; check_labels.py
#    will refuse the file until they are resolved
#  - anchoring is the real risk. Re-watch the action moments; do not
#    skim and accept.
#
# Runs shorter than 0.4s were dropped as prediction flicker, so gaps
# are expected. Unlabelled time is excluded from scoring, not treated as
# neutral, so a gap is safe -- a WRONG label is not.
fencer,start,end,footwork,blade
right,30.030,31.198,advance,none
left,30.030,31.698,TODO,parry
right,31.365,39.706,retreat,none
left,31.865,33.534,lunge,none
left,33.700,36.537,advance,none
left,36.703,38.205,lunge,none
left,38.372,38.872,advance,none
left,39.039,39.540,walking,none
left,39.706,43.877,neutral,none
right,39.873,43.210,walking,none
right,43.377,44.544,retreat,none
left,44.044,44.544,TODO,none
right,44.711,45.712,advance,none
left,44.711,46.213,lunge,none
right,46.547,49.049,retreat,none
left,46.880,48.549,lunge,none
right,49.216,55.222,walking,none
left,50.550,52.386,walking,none
left,53.053,54.221,neutral,none
left,55.222,56.223,TODO,none
right,55.389,56.723,retreat,none
left,56.390,57.224,TODO,none
right,56.890,59.893,advance,none
left,57.391,58.892,TODO,parry
left,59.059,60.060,retreat,none
left,60.227,61.895,TODO,none
right,60.394,62.729,advance,none
left,62.062,63.397,TODO,none
right,63.230,65.232,advance,none
left,63.563,64.398,TODO,none
left,64.564,65.399,TODO,none
right,66.066,67.234,advance,none
left,66.066,67.567,walking,none
right,68.235,69.236,lunge,none
left,68.902,69.736,TODO,none
right,69.903,70.404,advance,none
left,70.404,73.407,walking,none
right,72.072,72.739,walking,none
right,72.906,74.074,TODO,none
left,74.241,75.075,TODO,none
right,74.241,75.742,advance,none
left,75.242,76.410,TODO,none
right,75.909,84.084,retreat,none
left,76.576,77.578,TODO,none
left,78.078,83.250,lunge,none
left,83.417,84.418,advance,none
right,84.251,84.918,lunge,none
left,85.252,87.921,lunge,none
right,85.919,86.587,lunge,none
right,87.087,87.588,retreat,none
right,87.754,88.588,walking,none
right,88.922,91.425,walking,none
left,89.423,98.599,walking,none
right,96.763,99.099,neutral,none
left,99.099,100.267,advance,none
right,99.266,100.934,advance,none
left,100.434,102.603,retreat,none
right,101.101,101.768,lunge,none
right,101.935,103.103,TODO,none
left,102.769,104.104,advance,none
right,103.270,104.271,advance,none
left,104.271,104.938,TODO,none
right,104.438,104.938,lunge,none
right,105.105,105.772,walking,none
left,105.105,105.939,walking,none
left,110.444,111.778,advance,none
right,110.444,112.279,retreat,none
left,112.112,114.281,lunge,none
right,112.946,113.780,TODO,none
right,113.947,114.781,retreat,none
left,114.948,115.449,walking,none
left,117.451,118.285,neutral,none
right,117.451,122.456,walking,none
left,118.785,121.955,neutral,none
left,122.289,123.290,lunge,none
right,122.623,123.957,advance,none
left,123.457,124.458,advance,none
right,124.124,128.295,walking,none
left,124.624,127.461,walking,none
left,131.798,132.632,lunge,none
right,132.466,134.468,retreat,none
left,132.799,134.468,TODO,parry
right,134.635,135.636,advance,none
left,134.635,137.637,lunge,none
right,135.802,146.146,retreat,none
left,137.971,147.648,lunge,none
right,146.313,147.814,lunge,none
right,148.482,155.489,walking,none
left,149.816,154.988,walking,none
right,158.492,160.994,retreat,none
left,159.326,160.994,walking,none
left,161.328,161.995,TODO,none
right,161.661,162.996,advance,none
left,162.162,163.330,TODO,none
right,163.163,163.830,lunge,none
left,163.497,169.002,walking,none
right,164.331,165.499,walking,none
right,165.666,167.501,neutral,none
right,177.010,177.511,lunge,none
right,177.678,185.685,retreat,none
left,178.845,186.853,advance,none
right,185.852,186.686,advance,none
right,186.853,195.028,walking,none
left,187.187,189.189,neutral,none
left,189.356,190.524,walking,none
left,190.691,192.692,neutral,none
left,192.859,193.527,walking,none
left,193.694,195.195,neutral,none
right,195.195,196.196,retreat,none
left,195.362,196.029,TODO,none
left,196.196,197.697,lunge,none
right,196.363,198.031,advance,none
right,198.198,198.698,lunge,none
left,198.198,199.032,walking,none
left,199.199,206.707,neutral,none
right,199.366,206.873,walking,none
left,207.374,212.379,lunge,none
right,207.541,208.041,advance,none
right,208.208,213.213,retreat,none
left,212.546,213.046,TODO,none
left,213.213,216.550,TODO,parry
right,213.380,217.718,advance,none
left,216.716,217.718,retreat,none
left,217.884,219.553,neutral,none
right,217.884,219.886,walking,none
left,219.720,220.387,TODO,none
right,220.220,222.389,walking,none
left,221.888,231.565,walking,none
right,222.722,223.557,walking,none
right,223.724,224.558,retreat,none
right,228.395,231.231,walking,none
right,231.398,241.241,retreat,none
left,232.899,234.234,TODO,none
left,234.568,235.235,TODO,none
left,236.236,236.737,TODO,none
left,236.903,237.738,walking,none
left,238.238,238.739,TODO,none
left,239.239,240.574,lunge,none
left,241.074,242.242,neutral,none
right,242.075,243.744,advance,none
left,242.409,247.914,retreat,none
right,243.910,244.578,walking,none
right,244.745,247.748,advance,none
right,248.582,249.249,TODO,none
left,248.582,249.416,neutral,none
right,249.416,250.417,walking,none
left,250.083,250.584,walking,none
right,250.584,251.251,retreat,none
left,251.084,253.587,neutral,none
right,251.418,252.586,advance,none
right,253.253,258.925,retreat,none
left,253.754,255.756,walking,none
left,256.423,258.592,advance,none
left,259.092,260.260,neutral,none
right,259.259,261.261,walking,none
left,260.594,262.429,retreat,none
right,261.428,261.928,TODO,none
right,262.095,263.764,walking,none
left,263.096,263.764,TODO,none
left,264.264,265.599,walking,none
right,264.931,265.432,walking,none
right,273.106,273.940,TODO,none
right,274.107,274.608,retreat,none
right,278.779,279.446,lunge,none
left,281.281,282.449,TODO,none
right,281.448,282.783,retreat,none
left,282.616,286.453,lunge,none
right,282.949,284.451,advance,none
right,284.618,286.620,retreat,none
left,286.620,287.120,TODO,none
right,287.287,288.288,retreat,none
left,288.121,290.457,lunge,none
right,288.788,290.791,retreat,none
left,290.624,292.459,walking,none
right,290.957,292.959,walking,none
right,299.299,299.800,advance,none
right,299.966,301.134,retreat,none
left,300.634,302.969,walking,none
right,301.301,303.803,advance,none
left,303.637,304.638,TODO,none
right,304.137,311.311,walking,none
left,304.805,307.974,neutral,none
left,308.141,310.143,walking,none
left,310.477,311.144,walking,none
right,311.978,313.647,advance,none
left,312.312,313.146,lunge,none
left,313.313,314.481,advance,none
right,313.814,314.314,retreat,none
right,314.481,315.649,advance,none
left,314.648,315.148,TODO,none
left,315.315,318.485,lunge,none
right,315.815,316.817,walking,none
right,319.986,320.987,TODO,none
left,319.986,321.988,advance,none
right,321.154,322.322,lunge,none
left,322.656,324.324,retreat,none
right,323.156,323.657,TODO,none
right,324.324,327.327,neutral,none
left,324.491,329.829,walking,none
right,327.494,327.994,TODO,none
right,328.161,329.829,TODO,none
