# Ground-truth interval labels for data/raw_video/2.mp4. Aaron, 2026-08-05.
# Timestamps are seconds from the START of that file.
# "with pause" = overall direction holds but small opposite steps interrupt it;
# scored as the overall direction.
# "arm extension" is NOT one of the six classes (extension was dropped and lives
# on as the arm-reach FEATURE), so those intervals are marked `extension` and are
# EXCLUDED from scoring — the model can never emit that label and penalising it
# would be measuring the wrong thing. Count them, don't score them.
# NOTE: roles are REVERSED vs bout 1 — here A retreats and B advances in the
# opening exchanges. That makes this a real test of the claim that the old "A/B
# asymmetry" was about which ACTIONS a fencer performs, not which slot they are.
# Uncovered time is deliberately absent and excluded from scoring.
# UPGRADED to two-track by scripts/upgrade_labels.py.
# TODO cells could not be derived from the single-track label and need
# a human -- see that script's docstring for why each one is unknown.
fencer,start,end,footwork,blade
left,0.000,1.701,neutral,none
right,0.000,1.701,neutral,none
left,2.402,6.772,retreat,TODO
right,2.402,6.772,advance,TODO
left,6.773,7.540,TODO,parry
right,6.773,7.540,lunge,TODO
left,7.540,10.210,advance,TODO
right,7.540,10.210,retreat,TODO
left,10.210,10.743,TODO,parry
right,10.210,10.743,lunge,TODO
left,10.844,11.978,walking,none
right,10.844,11.978,walking,none
left,27.327,28.628,neutral,none
right,27.327,28.628,neutral,none
left,29.595,30.130,advance,TODO
right,29.595,30.130,retreat,TODO
left,30.130,31.264,advance,TODO
right,30.130,31.264,TODO,extension
left,31.264,32.031,lunge,TODO
right,31.264,32.031,lunge,TODO
left,48.415,50.483,walking,none
right,48.415,50.483,walking,none
left,52.786,53.119,retreat,TODO
right,52.786,53.119,advance,TODO
left,53.119,53.786,retreat,TODO
right,53.119,53.786,lunge,TODO
left,55.321,58.458,walking,none
right,55.321,58.458,walking,none
left,63.430,64.097,TODO,parry
right,63.430,64.097,lunge,TODO
left,91.390,92.657,advance,TODO
right,91.390,92.657,retreat,TODO
left,92.657,93.457,advance,TODO
right,92.657,93.457,TODO,extension
left,93.457,94.124,advance,TODO
right,93.457,94.124,retreat,TODO
left,94.124,95.825,advance,TODO
right,94.124,95.825,TODO,extension
left,97.097,97.730,lunge,TODO
right,97.097,97.730,lunge,TODO
left,104.737,106.573,neutral,none
right,104.737,106.573,neutral,none
left,108.675,109.175,TODO,parry
right,108.675,109.175,lunge,TODO
