# Ground-truth interval labels for data/raw_video/4.mp4. Aaron, 2026-08-09.
# TWO-TRACK schema (footwork + blade), 26.1 min source, sparse by design:
# a gap means no arm/blade action was happening there, not neutral.
# Unlabelled time is EXCLUDED from scoring, so gaps are safe.
#
# `arm ext` -> `extension`, `walk` -> `walking`. `extension` is not one of
# the six model classes, so evaluate_labels.py collapses those rows to the
# FOOTWORK label rather than dropping them as unscorable.
#
# Rows where a fencer's footwork cell was blank are omitted for that fencer.
# See the transcription notes printed by scratchpad/bout4_raw.py.
fencer,start,end,footwork,blade
left,0.000,0.767,neutral,none
left,2.135,5.071,advance,none
left,5.204,5.738,lunge,extension
left,5.772,6.706,retreat,parry
left,7.374,8.341,walking,none
left,23.890,25.391,retreat,none
left,25.391,25.958,neutral,extension
left,25.958,30.361,retreat,none
left,30.361,31.191,retreat,none
left,31.191,32.932,walking,none
left,54.854,55.621,lunge,extension
left,58.290,65.760,walking,none
left,86.586,87.153,advance,none
left,87.153,87.820,lunge,extension
left,92.792,95.760,retreat,none
left,108.975,110.509,advance,none
left,110.509,111.209,lunge,extension
left,133.632,134.366,lunge,extension
left,141.900,145.110,retreat,none
left,151.710,152.929,retreat,none
left,152.929,153.472,lunge,extension
left,199.803,200.570,lunge,extension
left,200.570,202.838,retreat,none
left,204.360,206.106,walking,none
left,282.170,283.004,lunge,extension
left,283.004,284.640,walking,none
left,320.100,321.568,neutral,none
left,322.467,323.134,lunge,extension
left,323.134,329.310,walking,none
left,331.496,333.598,advance,none
left,333.598,334.465,retreat,parry
left,334.500,338.310,walking,none
left,343.770,344.537,advance,parry
left,345.271,352.680,walking,none
left,356.760,360.120,advance,none
left,360.120,360.453,advance,none
left,361.140,363.570,walking,none
left,379.553,381.187,retreat,parry
left,400.693,410.280,walking,none
left,412.200,412.900,advance,none
left,413.580,421.980,walking,none
left,425.550,426.780,advance,none
left,435.900,439.223,neutral,none
left,440.490,443.025,advance,none
left,447.929,448.596,lunge,extension
left,463.440,464.140,neutral,none
left,482.370,483.070,neutral,none
left,524.160,527.250,walking,none
left,527.250,530.580,neutral,none
left,531.540,533.490,retreat,none
left,533.490,534.724,retreat,parry
left,550.583,551.750,retreat,parry
left,554.220,555.254,lunge,extension
left,555.780,556.914,lunge,extension
left,589.830,590.831,retreat,parry
left,590.831,595.050,advance,none
left,595.050,595.917,lunge,extension
left,612.570,617.190,neutral,none
left,631.529,632.663,retreat,parry
left,632.700,638.220,walking,none
left,662.400,667.080,advance,none
left,667.080,668.214,lunge,extension
left,668.220,673.440,retreat,none
left,673.440,674.140,retreat,parry
left,698.580,705.360,walking,none
left,707.010,708.077,lunge,extension
left,773.190,774.057,retreat,parry
left,774.060,777.480,walking,none
left,780.810,781.510,retreat,parry
left,783.960,784.527,advance,none
left,804.120,806.310,neutral,none
left,807.060,807.827,lunge,extension
left,808.294,814.650,retreat,none
left,814.650,814.980,lunge,extension
left,814.980,815.280,neutral,parry
left,815.280,815.613,neutral,none
left,815.613,815.879,retreat,parry
left,823.393,824.193,lunge,extension
left,843.884,845.490,neutral,none
left,846.300,847.034,lunge,extension
left,847.470,856.740,walking,none
left,861.810,867.030,walking,none
left,869.633,870.233,retreat,parry
left,877.196,878.866,neutral,none
left,879.543,880.310,advance,none
left,880.350,884.850,walking,none
left,884.850,886.350,neutral,none
left,887.490,890.100,advance,none
left,890.100,890.967,lunge,extension
left,897.533,898.300,lunge,extension
left,898.310,901.440,walking,none
left,939.270,943.500,neutral,none
left,944.520,947.550,retreat,none
left,947.550,951.600,advance,none
left,951.600,952.467,lunge,extension
left,952.467,956.550,retreat,none
left,956.550,957.150,lunge,extension
left,957.150,960.330,retreat,none
left,960.870,963.390,walking,none
left,968.190,973.290,walking,none
left,1014.300,1020.750,walking,none
left,1020.752,1023.600,neutral,none
left,1025.040,1027.440,retreat,none
left,1027.440,1028.140,retreat,parry
left,1028.880,1033.650,advance,none
left,1043.730,1047.330,advance,none
left,1091.453,1092.491,retreat,extension
left,1109.640,1111.110,advance,none
left,1111.110,1113.892,advance,none
left,1113.892,1114.525,advance,extension
left,1115.158,1118.160,walking,none
left,1125.330,1127.553,advance,none
left,1145.460,1147.620,neutral,none
left,1149.660,1150.714,advance,none
left,1151.160,1151.860,neutral,parry
left,1151.860,1154.010,walking,none
left,1173.220,1173.554,advance,none
left,1173.554,1174.254,advance,none
left,1180.350,1185.060,walking,none
left,1200.060,1204.890,retreat,extension
left,1204.890,1205.857,retreat,none
left,1206.330,1207.410,advance,none
left,1207.410,1208.820,advance,none
left,1210.050,1218.330,walking,none
left,1220.730,1221.810,neutral,parry
left,1222.260,1226.820,walking,none
left,1229.269,1230.470,retreat,extension
left,1230.470,1232.070,walking,none
left,1250.496,1251.463,lunge,extension
left,1251.463,1253.520,walking,none
left,1280.920,1286.040,walking,none
left,1296.600,1300.000,advance,none
left,1327.880,1328.960,advance,none
left,1328.960,1329.694,advance,parry
left,1337.866,1338.967,lunge,extension
left,1349.400,1351.299,advance,none
left,1351.299,1352.400,lunge,extension
left,1359.146,1360.045,neutral,parry
left,1360.045,1361.012,advance,parry
left,1375.813,1377.480,advance,none
left,1377.480,1378.647,lunge,extension
left,1408.114,1409.800,advance,none
left,1409.800,1417.240,retreat,none
left,1419.320,1425.040,walking,none
left,1427.646,1428.480,retreat,parry
left,1445.600,1446.367,advance,extension
left,1479.927,1481.228,lunge,extension
left,1481.228,1483.840,walking,none
left,1491.280,1492.247,retreat,parry
left,1498.166,1499.534,lunge,extension
left,1506.280,1511.240,advance,none
left,1534.680,1540.040,walking,none
left,1543.280,1544.600,advance,none
right,0.000,0.767,neutral,none
right,2.135,5.071,retreat,none
right,5.204,5.738,retreat,parry
right,5.772,6.706,advance,none
right,7.374,8.341,walking,none
right,23.890,25.391,advance,none
right,25.391,25.958,advance,none
right,25.958,30.361,advance,none
right,30.361,31.191,lunge,extension
right,31.191,32.932,walking,none
right,54.854,55.621,retreat,parry
right,58.290,65.760,walking,none
right,86.586,87.153,retreat,none
right,87.153,87.820,retreat,parry
right,92.792,95.760,advance,none
right,108.975,110.509,retreat,none
right,110.509,111.209,retreat,parry
right,133.632,134.366,retreat,parry
right,141.900,145.110,advance,none
right,151.710,152.929,advance,none
right,152.929,153.472,advance,parry
right,199.803,200.570,retreat,parry
right,200.570,202.838,advance,none
right,204.360,206.106,walking,none
right,282.170,283.004,lunge,extension
right,283.004,284.640,walking,none
right,320.100,321.568,neutral,none
right,322.467,323.134,lunge,extension
right,323.134,329.310,walking,none
right,331.496,333.598,retreat,none
right,333.598,334.465,lunge,extension
right,334.500,338.310,walking,none
right,343.770,344.537,lunge,extension
right,345.271,352.680,walking,none
right,356.760,360.120,retreat,none
right,360.120,360.453,lunge,extension
right,361.140,363.570,walking,none
right,379.553,381.187,advance,extension
right,400.693,410.280,walking,none
right,412.200,412.900,lunge,extension
right,413.580,421.980,walking,none
right,425.550,426.780,retreat,none
right,435.900,439.223,neutral,none
right,440.490,443.025,retreat,none
right,447.929,448.596,retreat,parry
right,463.440,464.140,lunge,none
right,482.370,483.070,neutral,parry
right,524.160,527.250,walking,none
right,527.250,530.580,neutral,none
right,531.540,533.490,advance,none
right,533.490,534.724,advance,none
right,550.583,551.750,lunge,extension
right,554.220,555.254,retreat,parry
right,555.780,556.914,advance,parry
right,589.830,590.831,lunge,extension
right,590.831,595.050,retreat,none
right,595.050,595.917,retreat,parry
right,612.570,617.190,neutral,none
right,631.529,632.663,lunge,extension
right,632.700,638.220,walking,none
right,662.400,667.080,retreat,none
right,667.080,668.214,retreat,parry
right,668.220,673.440,advance,none
right,673.440,674.140,lunge,extension
right,698.580,705.360,walking,none
right,707.010,708.077,lunge,extension
right,773.190,774.057,lunge,extension
right,774.060,777.480,walking,none
right,780.810,781.510,lunge,extension
right,783.960,784.527,lunge,extension
right,804.120,806.310,neutral,none
right,807.060,807.827,retreat,none
right,808.294,814.650,advance,none
right,814.650,814.980,neutral,parry
right,815.280,815.613,retreat,parry
right,815.613,815.879,retreat,none
right,823.393,824.193,neutral,parry
right,843.884,845.490,neutral,none
right,846.300,847.034,lunge,none
right,847.470,856.740,walking,none
right,861.810,867.030,walking,none
right,869.633,870.233,lunge,extension
right,877.196,878.866,neutral,none
right,879.543,880.310,lunge,extension
right,880.350,884.850,walking,none
right,884.850,886.350,neutral,none
right,887.490,890.100,retreat,none
right,890.100,890.967,retreat,parry
right,897.533,898.300,lunge,extension
right,898.310,901.440,walking,none
right,939.270,943.500,neutral,none
right,944.520,947.550,advance,none
right,947.550,951.600,retreat,none
right,951.600,952.467,retreat,parry
right,952.467,956.550,advance,none
right,956.550,957.150,retreat,parry
right,957.150,960.330,advance,none
right,960.870,963.390,walking,none
right,968.190,973.290,walking,none
right,1014.300,1020.750,walking,none
right,1020.752,1023.600,neutral,none
right,1025.040,1027.440,advance,none
right,1027.440,1028.140,lunge,extension
right,1028.880,1033.650,retreat,none
right,1043.730,1047.330,retreat,none
right,1091.453,1092.491,lunge,extension
right,1109.640,1111.110,retreat,extension
right,1111.110,1113.892,retreat,none
right,1113.892,1114.525,lunge,extension
right,1115.158,1118.160,walking,none
right,1125.330,1127.553,retreat,extension
right,1145.460,1147.620,neutral,none
right,1149.660,1150.714,retreat,extension
right,1151.160,1151.860,lunge,extension
right,1151.860,1154.010,walking,none
right,1173.220,1173.554,retreat,extension
right,1173.554,1174.254,lunge,extension
right,1180.350,1185.060,walking,none
right,1200.060,1204.890,advance,none
right,1204.890,1205.857,lunge,extension
right,1206.330,1207.410,retreat,extension
right,1207.410,1208.820,retreat,none
right,1210.050,1218.330,walking,none
right,1220.730,1221.810,lunge,extension
right,1222.260,1226.820,walking,none
right,1229.269,1230.470,lunge,extension
right,1230.470,1232.070,walking,none
right,1250.496,1251.463,retreat,parry
right,1251.463,1253.520,walking,none
right,1280.920,1286.040,walking,none
right,1296.600,1300.000,retreat,none
right,1327.880,1328.960,retreat,none
right,1328.960,1329.694,retreat,extension
right,1337.866,1338.967,retreat,none
right,1349.400,1351.299,retreat,none
right,1351.299,1352.400,retreat,parry
right,1359.146,1360.180,lunge,extension
right,1375.813,1377.480,retreat,none
right,1377.480,1378.647,retreat,parry
right,1408.114,1409.800,retreat,none
right,1409.800,1417.240,advance,none
right,1419.320,1425.040,walking,none
right,1427.646,1428.480,lunge,extension
right,1445.600,1446.367,lunge,extension
right,1479.927,1481.228,retreat,parry
right,1481.228,1483.840,walking,none
right,1491.280,1492.247,lunge,extension
right,1498.166,1499.534,retreat,parry
right,1506.280,1511.240,retreat,none
right,1534.680,1540.040,walking,none
right,1543.280,1544.600,retreat,extension
