# Ground-truth interval labels for data/raw_video/5.mp4. Aaron, 2026-08-12.
# NEW VENUE: 1906x1080 @ 30.000 fps, vs bouts 1-4 at 1920x1080 @ 29.97. This is the
# first footage that tests the hand-calibrated framing constants rather than the model.
#
# TWO-TRACK schema (footwork + blade). 9.6 min source, densely labelled: every phrase
# from en-garde through the touch, with the between-phrase `walk` marked too.
#
# `arm ext` -> `extension`, `walk` -> `walking`. `extension` is not one of the six
# model classes, so evaluate_labels.py collapses those rows to the FOOTWORK label
# rather than dropping them as unscorable.
#
# Transcribed by scripts/transcribe_bout5.py -- see its docstring for the three
# source anomalies (one duplicated phrase, one backwards timestamp, two 0.233 s
# intervals) and how each was resolved.
fencer,start,end,footwork,blade
left,4.350,5.371,neutral,none
right,4.350,5.371,neutral,none
left,5.371,6.750,advance,none
right,5.371,6.750,advance,none
left,6.750,10.100,advance,none
right,6.750,10.100,retreat,none
left,10.100,10.500,retreat,none
right,10.100,10.500,advance,none
left,10.500,10.967,lunge,extension
right,10.500,10.967,advance,none
left,11.800,13.400,walking,none
right,11.800,13.400,walking,none
left,16.766,19.300,neutral,none
right,16.766,19.300,neutral,none
left,19.300,19.867,advance,none
right,19.300,19.867,advance,none
left,19.867,20.601,lunge,extension
right,19.867,20.601,retreat,parry
left,20.601,21.101,lunge,extension
right,20.601,21.101,neutral,extension
left,21.101,25.000,walking,none
right,21.101,25.000,walking,none
left,32.450,35.883,neutral,none
right,32.450,35.883,neutral,none
left,35.883,36.950,advance,none
right,35.883,36.950,advance,none
left,36.950,40.720,advance,none
right,36.950,40.720,retreat,none
left,40.720,41.320,neutral,none
right,40.720,41.320,advance,extension
left,41.320,46.383,walking,none
right,41.320,46.383,walking,none
left,53.500,56.600,neutral,none
right,53.500,56.600,neutral,none
left,56.600,57.801,advance,none
right,56.600,57.801,advance,none
left,57.801,67.300,retreat,none
right,57.801,67.300,advance,none
left,67.300,68.367,neutral,parry
right,67.300,68.367,lunge,extension
left,68.367,69.034,neutral,extension
right,68.367,69.034,retreat,parry
left,69.467,70.334,retreat,parry
right,69.467,70.334,advance,extension
left,70.334,72.499,walking,none
right,70.334,72.499,walking,none
left,79.750,83.233,walking,none
right,79.750,83.233,walking,none
left,85.883,86.483,advance,none
right,85.883,86.483,advance,none
left,86.483,87.050,lunge,extension
right,86.483,87.050,lunge,extension
left,87.050,88.816,walking,none
right,87.050,88.816,walking,none
left,115.900,118.816,walking,none
right,115.900,118.816,walking,none
left,124.850,130.500,neutral,none
right,124.850,130.500,neutral,none
left,130.500,131.667,advance,none
right,130.500,131.667,advance,none
left,131.667,137.250,retreat,none
right,131.667,137.250,advance,none
left,137.250,138.017,retreat,none
right,137.250,138.017,lunge,extension
left,138.017,139.018,advance,none
right,138.017,139.018,retreat,none
left,139.018,139.985,advance,none
right,139.018,139.985,retreat,extension
left,139.985,142.450,advance,none
right,139.985,142.450,retreat,extension
left,142.450,143.317,neutral,none
right,142.450,143.317,neutral,extension
left,143.317,149.566,retreat,none
right,143.317,149.566,advance,none
left,149.566,150.065,lunge,extension
right,149.566,150.065,neutral,none
left,150.065,151.750,walking,none
right,150.065,151.750,walking,none
left,160.550,163.850,neutral,none
right,160.550,163.850,neutral,none
left,163.850,165.151,advance,none
right,163.850,165.151,advance,none
left,165.151,166.451,retreat,none
right,165.151,166.451,advance,none
left,166.451,167.618,retreat,parry
right,166.451,167.618,advance,extension
left,167.618,169.316,walking,none
right,167.618,169.316,walking,none
left,180.450,181.517,advance,none
right,180.450,181.517,advance,none
left,181.517,183.700,retreat,none
right,181.517,183.700,advance,none
left,183.700,184.767,neutral,extension
right,183.700,184.767,advance,extension
left,184.767,186.183,advance,none
right,184.767,186.183,retreat,none
left,186.183,186.783,advance,none
right,186.183,186.783,advance,extension
left,186.783,189.150,walking,none
right,186.783,189.150,walking,none
left,201.200,203.700,neutral,none
right,201.200,203.700,neutral,none
left,203.700,204.767,advance,none
right,203.700,204.767,advance,none
left,204.767,207.083,advance,none
right,204.767,207.083,retreat,none
left,207.083,207.950,advance,none
right,207.083,207.950,advance,extension
left,207.950,210.100,walking,none
right,207.950,210.100,walking,none
left,219.600,221.383,neutral,none
right,219.600,221.383,neutral,none
left,221.383,222.117,advance,none
right,221.383,222.117,advance,none
left,222.117,224.233,advance,none
right,222.117,224.233,retreat,none
left,224.233,224.666,lunge,extension
right,224.233,224.666,neutral,none
left,224.666,229.649,walking,none
right,224.666,229.649,walking,none
left,238.300,244.199,neutral,none
right,238.300,244.199,neutral,none
left,244.199,245.066,advance,none
right,244.199,245.066,advance,none
left,245.066,246.067,advance,none
right,245.066,246.067,advance,extension
left,246.067,250.183,walking,none
right,246.067,250.183,walking,none
left,261.600,262.900,neutral,none
right,261.600,262.900,neutral,none
left,262.900,263.734,advance,none
right,262.900,263.734,advance,none
left,265.168,266.068,advance,extension
right,265.168,266.068,advance,extension
left,266.068,267.600,walking,none
right,266.068,267.600,walking,none
left,277.100,279.400,neutral,none
right,277.100,279.400,neutral,none
left,279.400,280.434,advance,none
right,279.400,280.434,advance,none
left,280.434,282.751,retreat,extension
right,280.434,282.751,advance,none
left,282.751,283.785,advance,extension
right,282.751,283.785,advance,extension
left,283.785,288.116,walking,none
right,283.785,288.116,walking,none
left,291.450,293.349,neutral,none
right,291.450,293.349,neutral,none
left,293.349,294.616,advance,none
right,293.349,294.616,advance,none
left,294.616,296.333,retreat,none
right,294.616,296.333,advance,none
left,296.333,298.435,advance,none
right,296.333,298.435,retreat,none
left,298.435,299.402,lunge,extension
right,298.435,299.402,retreat,parry
left,300.200,304.800,retreat,extension
right,300.200,304.800,advance,none
left,306.134,307.116,retreat,extension
right,306.134,307.116,advance,none
