# Ground-truth interval labels for data/raw_video/6.mp4. Aaron, 2026-08-16.
# 1920x1080 @ 29.97 fps, 10.7 min -- same broadcast format as bouts 1-5.
# Two-track schema; `walk` -> walking, `arm ext` -> extension.
# Two source slips, corrected here: end `0629.135` read as `06:29.135`,
# and the riposte at 00:56.200 read as starting 00:56.833 where the
# attack it answers ends -- the only reading that leaves no overlap.
fencer,start,end,footwork,blade
left,0.000,10.233,walking,none
right,0.000,10.233,walking,none
left,22.701,26.271,advance,none
right,22.701,26.271,retreat,none
left,26.271,27.866,walking,none
right,26.271,27.866,walking,none
left,29.801,30.602,retreat,parry
right,29.801,30.602,lunge,extension
left,30.602,35.266,advance,none
right,30.602,35.266,retreat,none
left,35.266,44.833,retreat,none
right,35.266,44.833,advance,none
left,44.833,46.134,retreat,parry
right,44.833,46.134,lunge,extension
left,46.934,47.935,advance,parry
right,46.934,47.935,advance,extension
left,47.935,56.200,advance,none
right,47.935,56.200,retreat,none
left,56.200,56.833,advance,extension
right,56.200,56.833,retreat,parry
left,56.833,57.367,retreat,parry
right,56.833,57.367,lunge,extension
left,58.068,58.935,advance,parry
right,58.068,58.935,advance,extension
left,58.935,59.769,lunge,extension
right,58.935,59.769,retreat,none
left,62.437,63.638,lunge,extension
right,62.437,63.638,advance,none
left,63.638,66.200,walking,none
right,63.638,66.200,walking,none
left,70.166,71.333,advance,none
right,70.166,71.333,advance,none
left,71.666,75.670,retreat,none
right,71.666,75.670,advance,none
left,75.670,76.937,advance,extension
right,75.670,76.937,neutral,none
left,76.937,80.733,walking,none
right,76.937,80.733,walking,none
left,83.000,84.900,neutral,none
right,83.000,84.900,neutral,none
left,84.900,85.967,advance,none
right,84.900,85.967,advance,none
left,85.967,86.801,lunge,extension
right,85.967,86.801,advance,none
left,86.801,93.366,walking,none
right,86.801,93.366,walking,none
left,95.800,96.834,advance,none
right,95.800,96.834,advance,none
left,96.834,97.634,retreat,parry
right,96.834,97.634,lunge,extension
left,97.634,101.433,advance,none
right,97.634,101.433,retreat,none
left,101.433,102.033,lunge,extension
right,101.433,102.033,advance,parry
left,102.967,106.133,walking,none
right,102.967,106.133,walking,none
left,113.300,115.035,neutral,none
right,113.300,115.035,neutral,none
left,115.035,116.236,advance,none
right,115.035,116.236,advance,none
left,116.236,118.037,retreat,none
right,116.236,118.037,advance,none
left,118.037,118.871,retreat,parry
right,118.037,118.871,lunge,extension
left,118.871,124.500,walking,none
right,118.871,124.500,walking,none
left,124.500,125.934,neutral,none
right,124.500,125.934,neutral,none
left,125.934,126.368,advance,none
right,125.934,126.368,advance,none
left,126.368,127.035,retreat,parry
right,126.368,127.035,lunge,extension
left,127.035,129.800,advance,none
right,127.035,129.800,retreat,none
