time,scorer,score,note
63.033,right,0-1,
76.200,left,1-1,
86.382,left,2-1,
102.400,left,3-1,
118.400,none,,off_target
130.000,right,3-2,
152.650,left,4-2,
166.400,left,5-2,
184.450,none,,off_target
192.250,right,5-3,
203.900,right,5-4,
225.866,left,6-4,
239.050,none,,off_target
251.100,none,,off_target
258.350,none,,off_target
271.400,none,,off_target
283.750,none,,off_target
291.250,left,7-4,
311.116,left,8-4,
336.216,right,8-5,
355.300,none,,off_target
371.616,none,,off_target
383.100,right,8-6,
388.816,right,8-7,
411.750,left,9-7,
430.800,none,,off_target
442.850,right,9-8,
467.950,left,10-8,
486.900,none,,off_target
504.600,right,10-9,
538.000,left,11-9,
566.100,left,12-9,
573.550,right,12-10,
586.550,left,13-10,
594.600,left,14-10,
605.550,none,,off_target
619.017,left,15-10,
