# Ground-truth interval labels for data/raw_video/7.mp4. Aaron, 2026-08-15.
# THIRD VENUE: 1280x718 @ 60 fps, vs 1920x1080 @ ~30 for bouts 1-5.
# 60 fps is a pipeline hazard: WINDOW_LONG=60 frames is 2 s at 30 fps but
# 1 s here. Resample to 30 fps before extraction.
# Two-track schema; `walk` -> walking, `arm ext` -> extension.
fencer,start,end,footwork,blade
left,0.000,1.956,neutral,none
right,0.000,1.956,neutral,none
left,1.956,2.790,advance,none
right,1.956,2.790,advance,none
left,3.390,4.457,retreat,parry
right,3.390,4.457,lunge,extension
left,4.870,5.437,neutral,parry
right,4.870,5.437,lunge,extension
left,5.723,7.024,retreat,none
right,5.723,7.024,advance,none
left,7.391,8.024,advance,parry
right,7.391,8.024,advance,none
left,8.824,17.766,advance,none
right,8.824,17.766,retreat,none
left,17.766,18.166,lunge,extension
right,17.766,18.166,retreat,none
left,18.166,24.080,walking,none
right,18.166,24.080,walking,none
left,34.370,35.770,neutral,none
right,34.370,35.770,neutral,none
left,36.603,36.936,retreat,none
right,36.603,36.936,advance,none
left,36.936,37.770,retreat,parry
right,36.936,37.770,lunge,extension
left,37.770,40.539,advance,none
right,37.770,40.539,retreat,extension
left,40.539,42.707,advance,none
right,40.539,42.707,retreat,none
left,42.707,43.474,lunge,extension
right,42.707,43.474,retreat,parry
left,43.474,46.597,walking,none
right,43.474,46.597,walking,none
left,50.783,54.023,neutral,none
right,50.783,54.023,neutral,none
left,54.656,55.523,advance,parry
right,54.656,55.523,lunge,none
left,55.523,58.626,walking,none
right,55.523,58.626,walking,none
left,64.540,66.220,neutral,none
right,64.540,66.220,neutral,none
left,67.943,68.877,retreat,extension
right,67.943,68.877,advance,none
left,68.877,69.043,lunge,extension
right,68.877,69.043,advance,none
left,69.043,69.676,retreat,parry
right,69.043,69.676,lunge,extension
left,69.676,72.906,walking,none
right,69.676,72.906,walking,none
left,78.470,79.236,neutral,none
right,78.470,79.236,neutral,none
left,79.236,80.036,advance,none
right,79.236,80.036,advance,none
left,80.036,80.803,retreat,parry
right,80.036,80.803,lunge,extension
left,80.803,82.563,walking,none
right,80.803,82.563,walking,none
left,87.173,89.909,walking,none
right,87.173,89.909,neutral,none
left,91.577,92.144,retreat,parry
right,91.577,92.144,lunge,extension
left,92.644,95.583,walking,none
right,92.644,95.583,walking,none
left,102.270,102.856,advance,none
right,102.270,102.856,retreat,none
left,102.856,105.158,advance,none
right,102.856,105.158,retreat,extension
left,105.758,106.659,advance,none
right,105.758,106.659,retreat,extension
left,106.859,107.726,lunge,extension
right,106.859,107.726,retreat,extension
left,107.726,109.790,walking,none
right,107.726,109.790,walking,none
left,120.229,121.530,retreat,parry
right,120.229,121.530,lunge,extension
left,121.795,122.295,retreat,parry
right,121.795,122.295,lunge,extension
left,122.295,122.762,neutral,extension
right,122.295,122.762,neutral,parry
left,122.762,123.529,retreat,extension
right,122.762,123.529,lunge,extension
left,123.529,125.336,walking,none
right,123.529,125.336,walking,none
left,132.990,134.491,neutral,none
right,132.990,134.491,neutral,none
left,135.525,137.593,retreat,none
right,135.525,137.593,advance,none
left,137.593,138.594,lunge,extension
right,137.593,138.594,advance,none
left,138.594,140.070,walking,none
right,138.594,140.070,walking,none
left,165.556,166.490,retreat,parry
right,165.556,166.490,lunge,extension
left,166.490,167.820,walking,none
right,166.490,167.820,walking,none
left,174.090,180.210,neutral,none
right,174.090,180.210,neutral,none
left,180.576,181.410,lunge,extension
right,180.576,181.410,advance,parry
left,182.044,182.878,advance,extension
right,182.044,182.878,retreat,parry
left,182.878,185.116,walking,none
right,182.878,185.116,walking,none
left,192.570,211.040,walking,none
right,192.570,211.040,neutral,none
left,217.490,218.224,lunge,extension
right,217.490,218.224,lunge,extension
left,218.224,222.000,walking,none
right,218.224,222.000,walking,none
left,229.390,231.316,neutral,none
