# Touch outcomes for data/raw_video/7.mp4. Aaron, 2026-08-19. FOIL, DE to 15.
# One row per halt. Score blank = nothing awarded. Side = who LANDED the hit,
# so a valid/Both row with no score movement is a double, i.e. scorer none.
Score	Time stamp	Hit	Side conduct hit
	00:18.217	off target	Both
1:0	00:43.109	valid	left
2:0	00:55.350	valid	left
2:1	01:09.333	valid	right
2:2	01:20.500	valid	right
3:2	01:32.166	valid	left
3:3	01:47.066	valid	right
4:3	02:02.750	valid	left
4:4	02:18.166	valid	right
4:5	02:45.967	valid	right
	03:02.266	off target	left
4:6	03:37.766	valid	right
4:7	04:04.216	valid	right
	04:29.583	valid	Both
	05:05.083	off target	left
4:8	05:36.933	valid	right
5:8	06:21.016	valid	left
5:9	06:36.550	valid	right
6:9	07:03.116	valid	left
6:10	07:13.683	valid	right
7:10	08:03.683	valid	left
	08:25.016	off target	Both
	08:54.383	off target	left
	09:03.700	off target	right
7:11	09:53.367	valid	right
8:11	10:14.816	valid	left
	10:28.050	off target	right
	10:43.850	off target	right
8:12	12:33.816	valid	right
	13:45.150	off target	left
	14:07.967	off target	right
	14:14.950	off target	Both
	14:25.516	off target	left
	14:50.083	off target	right
8:13	15:04.916	valid	right
9:13	15:17.900	valid	left
9:14	15:45.617	valid	right
9:15	16:22.050	valid	right
