# Two-light halts only. Aaron, 2026-08-22. `Side Awarded` is who the referee
# gave the action to, i.e. who held PRIORITY -- not necessarily who scored:
# on a mixed halt an off-target hit by the priority holder annuls and nothing
# is awarded. Single-light halts are absent by design, so Score JUMPS between
# rows and is NOT a checksum here.
Score	Time stamp	Left	Right	Side Awarded
0:0	00:10.510	off target	valid	left
0:0	01:17.777	off target	off target	
1:1	01:50.944	off target	valid	right
1:3	02:39.259	valid	valid	right
2:4	03:44.090	valid	off target	left
5:4	05:03.569	valid	valid	left
10:5	11:29.422	valid	off target	left
10:6	12:11.764	valid	valid	right
10:9	13:27.306	valid	valid	right
11:9	14:14.019	valid	valid	left
13:9	15:07.706	valid	valid	left
13:10	15:54.420	valid	valid	right
13:11	16:28.620	valid	valid	right
15:11	17:03.589	valid	valid	left
