# Phrase pass. Aaron, 2026-09-06.  VIDEO ONLY -- no model output.
#
# `phrase`  what kind of action it was. Pick one:
#   clean          one fencer clearly attacks, the other clearly defends or retreats
#   close-blade    close quarters, a series of blade actions -- readable to you, but
#                  probably not to a tracker
#   attack-in-prep priority went to the fencer moving BACK, who lunged into the other's
#                  preparation or passivity
#   other          none of the above
#
# `difficulty` 1-10, higher = harder. Already filled for bouts 8-12; blank for 13-14.
#   1 = obvious, a referee giving it the other way would surprise you
#  10 = genuine coin flip
# `agree` optional y/n -- would you have called it the same way?
# Do a whole bout before moving on. Blank beats a forced guess.
bout	time	mm:ss	kind	awarded	phrase	difficulty	agree
8	33.199	00:33.199	two_colour	left		3	
8	128.528	02:08.528	two_colour	right		5	
8	276.676	04:36.676	two_colour	left		10  n	
8	297.396	04:57.396	mixed	left			10
8	482.648	08:02.648	two_colour	left		9	
8	551.717	09:11.717	mixed	left		2	
8	581.547	09:41.547	two_colour	right		6	
8	680.245	11:20.245	mixed	left		10	
9	10.510	00:10.510	mixed	left		10	
9	110.944	01:50.944	mixed	right		2	
9	159.259	02:39.259	two_colour	right		8	
9	224.090	03:44.090	mixed	left		3	
9	303.569	05:03.569	two_colour	left		1	
9	689.422	11:29.422	mixed	left		3	
9	731.764	12:11.764	two_colour	right		10	
9	807.306	13:27.306	two_colour	right		1	
9	854.019	14:14.019	two_colour	left		2	
9	907.706	15:07.706	two_colour	left		9	
9	954.420	15:54.420	two_colour	right		2	
9	988.620	16:28.620	two_colour	right		2	
9	1023.589	17:03.589	two_colour	left		9	
10	9.776	00:09.776	two_colour	right		9	
10	56.589	00:56.589	two_colour	left		4	
10	77.911	01:17.911	two_colour	left		3	
10	93.493	01:33.493	two_colour	right		2	
10	332.999	05:32.999	two_colour	left		10	
10	387.887	06:27.887	two_colour	right		1	
10	444.477	07:24.477	mixed	left		1	
10	483.850	08:03.850	two_colour	right		1	
10	498.064	08:18.064	two_colour	left		10	
10	535.001	08:55.001	mixed	right		1	
10	570.569	09:30.569	two_colour	left		10 (fencers are very small on this one, video is zoomed out hella)	
10	609.208	10:09.208	mixed	left		10(after halt)	
10	706.772	11:46.772	two_colour	right		3	
10	777.876	12:57.876	two_colour	left		8	
10	821.787	13:41.787	two_colour	right		1	
11	85.018	01:25.018	two_colour	right		8	
11	123.088	02:03.088	two_colour	right		2	
11	150.550	02:30.550	two_colour	left		3	
11	327.593	05:27.593	two_colour	right		10	n
11	460.593	07:40.593	two_colour	left		6	
11	489.555	08:09.555	two_colour	right		4	
11	500.867	08:20.867	two_colour	left		4	
11	510.910	08:30.910	two_colour	left		1	
11	521.020	08:41.020	two_colour	left		2	
11	557.490	09:17.490	two_colour	right		10	n
11	743.008	12:23.008	two_colour	right		3	
12	207.307	03:27.307	mixed	left		2	
12	268.735	04:28.735	mixed	left		8	
12	446.345	07:26.345	two_colour	right		3	
12	589.689	09:49.689	two_colour	left		3	
12	786.952	13:06.952	two_colour	left		9	
13	14.562	00:14.562	mixed	left			
13	115.148	01:55.148	mixed	right			
13	163.429	02:43.429	two_colour	right			
13	228.361	03:48.361	mixed	left			
13	307.740	05:07.740	two_colour	left			
13	512.578	08:32.578	mixed	left			
13	555.154	09:15.154	two_colour	right			
13	630.563	10:30.563	two_colour	right			
13	677.343	11:17.343	two_colour	left			
13	731.130	12:11.130	two_colour	left			
13	777.710	12:57.710	two_colour	right			
13	811.844	13:31.844	two_colour	right			
13	846.846	14:06.846	two_colour	left			
14	16.916	00:16.916	mixed	left			
14	62.328	01:02.328	two_colour	right			
14	110.710	01:50.710	two_colour	left			
14	159.859	02:39.859	two_colour	right			
14	291.491	04:51.491	two_colour	right			
14	411.377	06:51.377	two_colour	left			
14	591.090	09:51.090	two_colour	right			
14	807.039	13:27.039	mixed	left			
14	1099.231	18:19.231	two_colour	left			
14	1157.789	19:17.789	two_colour	left			
14	1182.340	19:42.340	two_colour	right			
14	1275.040	21:15.040	two_colour	right			
14	1291.990	21:31.990	two_colour	left			
14	1361.927	22:41.927	mixed	right			
14	1413.812	23:33.812	mixed	right			
14	1481.713	24:41.713	two_colour	right			
14	1641.500	27:21.500	mixed	right			
14	1775.934	29:35.934	two_colour	right			
14	1874.172	31:14.172	two_colour	right			
14	2005.570	33:25.570	two_colour	right			
14	2034.999	33:54.999	two_colour	left			
14	2085.383	34:45.383	two_colour	left			
14	2167.999	36:07.999	two_colour	left			
14	2192.323	36:32.323	mixed	left			
14	2223.988	37:03.988	mixed	right			
14	2253.384	37:33.384	two_colour	right			
14	2293.766	38:13.766	two_colour	left			
14	2406.270	40:06.270	mixed	right			
14	2420.384	40:20.384	mixed	right			
14	2486.951	41:26.951	two_colour	right			
14	2615.712	43:35.712	mixed	right			
14	2651.315	44:11.315	two_colour	right			
14	2745.309	45:45.309	mixed	right			
14	2823.587	47:03.587	mixed	left			
14	2932.428	48:52.428	two_colour	left			
14	2996.793	49:56.793	two_colour	left			
14	3146.877	52:26.877	two_colour	left			
14	3233.730	53:53.730	two_colour	right			
14	3284.280	54:44.280	two_colour	left			
14	3296.259	54:56.259	two_colour	right			
