epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,304.615,2.31248,3.88993,1.73716,0.70387,0.33811,0.39145,0.17617,2.14381,3.96664,1.62983,0.000661616,0.000661616,0.000661616
2,568.168,2.17912,2.66605,1.63679,0.44693,0.42494,0.35904,0.1752,2.06708,2.92957,1.67142,0.00130198,0.00130198,0.00130198
3,833.183,2.1284,2.21848,1.61916,0.57055,0.41232,0.39332,0.18588,2.11615,2.53188,1.64916,0.00191595,0.00191595,0.00191595
4,1109.91,2.06731,2.06014,1.59659,0.5892,0.46121,0.47722,0.24362,2.00052,1.9607,1.66159,0.0018812,0.0018812,0.0018812
5,1408.24,1.99018,1.84679,1.55182,0.70068,0.42241,0.49351,0.22052,2.13117,1.97801,1.64231,0.0018416,0.0018416,0.0018416
6,1715.13,1.97919,1.77414,1.5406,0.69384,0.5431,0.59052,0.31244,1.83016,1.89206,1.48454,0.001802,0.001802,0.001802
7,2013.74,1.94754,1.6952,1.50939,0.75284,0.49138,0.56506,0.30393,1.79744,1.64974,1.49332,0.0017624,0.0017624,0.0017624
8,2304.19,1.90172,1.63153,1.4892,0.68007,0.58621,0.62492,0.31971,1.94241,1.66405,1.6503,0.0017228,0.0017228,0.0017228
9,2592.99,1.85712,1.57613,1.45448,0.68151,0.56262,0.59421,0.31996,1.73011,1.95043,1.43935,0.0016832,0.0016832,0.0016832
10,2879.98,1.83709,1.50573,1.4473,0.65226,0.56897,0.60591,0.30826,1.80939,1.49854,1.57217,0.0016436,0.0016436,0.0016436
11,3162.92,1.79342,1.4882,1.42584,0.78677,0.53879,0.6577,0.36498,1.79002,1.38076,1.49136,0.001604,0.001604,0.001604
12,3474,1.77976,1.43336,1.40361,0.6904,0.61207,0.68202,0.3621,1.87321,1.3961,1.59324,0.0015644,0.0015644,0.0015644
13,3758.22,1.76076,1.40831,1.39088,0.76683,0.59537,0.69239,0.38671,1.62375,1.37023,1.32518,0.0015248,0.0015248,0.0015248
14,4037.38,1.70182,1.32115,1.37288,0.76622,0.64655,0.71716,0.39438,1.73627,1.3565,1.47117,0.0014852,0.0014852,0.0014852
15,4314.26,1.69478,1.33857,1.36951,0.73307,0.60345,0.68385,0.37401,1.69372,1.39714,1.42099,0.0014456,0.0014456,0.0014456
16,4587.02,1.68541,1.30023,1.35517,0.73965,0.5878,0.67229,0.37577,1.70664,1.47944,1.39411,0.001406,0.001406,0.001406
17,4860.5,1.66061,1.26911,1.34166,0.74039,0.65086,0.70097,0.38384,1.64765,1.29959,1.39014,0.0013664,0.0013664,0.0013664
18,5133.76,1.66427,1.27123,1.35027,0.71612,0.63362,0.6649,0.37476,1.72597,1.42362,1.48778,0.0013268,0.0013268,0.0013268
19,5406.33,1.63215,1.22411,1.31825,0.74338,0.63362,0.69062,0.38992,1.68785,1.35633,1.32887,0.0012872,0.0012872,0.0012872
20,5680.37,1.61838,1.20061,1.29876,0.77405,0.59914,0.6947,0.39613,1.65007,1.27896,1.41676,0.0012476,0.0012476,0.0012476
21,5953.68,1.61703,1.20117,1.31957,0.81361,0.63973,0.73063,0.41972,1.60685,1.36712,1.3229,0.001208,0.001208,0.001208
22,6229.18,1.57729,1.14086,1.27892,0.7741,0.68103,0.73576,0.41842,1.63432,1.24437,1.45674,0.0011684,0.0011684,0.0011684
23,6503.71,1.59252,1.16152,1.28665,0.78637,0.65517,0.70739,0.39173,1.70232,1.30321,1.40865,0.0011288,0.0011288,0.0011288
24,6779.22,1.55351,1.11613,1.26437,0.77372,0.64848,0.70565,0.41362,1.67566,1.2211,1.50729,0.0010892,0.0010892,0.0010892
25,7053.25,1.54058,1.09441,1.25447,0.78507,0.62976,0.71577,0.41439,1.60767,1.21335,1.46018,0.0010496,0.0010496,0.0010496
26,7328.72,1.53168,1.07983,1.25082,0.85947,0.63266,0.71707,0.42806,1.6158,1.16616,1.44295,0.00101,0.00101,0.00101
27,7599.37,1.49706,1.06722,1.23857,0.72757,0.70259,0.7505,0.44528,1.59423,1.11315,1.49402,0.0009704,0.0009704,0.0009704
28,7878.65,1.49981,1.0731,1.25317,0.77935,0.65465,0.73014,0.4403,1.58361,1.20395,1.41858,0.0009308,0.0009308,0.0009308
29,8153.76,1.4649,1.03769,1.23286,0.85054,0.63777,0.74572,0.43684,1.51815,1.22753,1.33713,0.0008912,0.0008912,0.0008912
30,8432.49,1.45022,1.00187,1.2127,0.7807,0.67517,0.73929,0.43811,1.52992,1.16655,1.36839,0.0008516,0.0008516,0.0008516
31,8708.65,1.44942,1.00547,1.20836,0.81486,0.63362,0.73098,0.42962,1.66306,1.16618,1.54713,0.000812,0.000812,0.000812
