epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.284,2.95714,6.42744,2.05855,0.00067,0.25397,0.00049,0.00012,2.76499,7.76311,2.21533,0.000657143,0.000657143,0.000657143
2,332.412,2.64786,5.21594,1.86014,0.00063,0.2381,0.00464,0.00153,2.79919,6.75839,1.89184,0.0013107,0.0013107,0.0013107
3,498.713,2.58555,4.32904,1.84299,0.0011,0.01587,0.00013,6e-05,2.89703,10.1267,1.95319,0.00195106,0.00195106,0.00195106
4,673.783,2.54954,3.91789,1.78128,0.28701,0.23644,0.13244,0.04081,2.58428,10.6215,2.15184,0.0019406,0.0019406,0.0019406
5,836.951,2.48993,3.24732,1.81038,0.59697,0.22222,0.22057,0.08042,2.52187,3.9021,1.93136,0.0019208,0.0019208,0.0019208
6,1002.05,2.42691,3.02737,1.80943,0.44761,0.33333,0.32752,0.11263,2.37682,3.30075,2.02568,0.001901,0.001901,0.001901
7,1171.5,2.38129,2.90393,1.80492,0.33662,0.26984,0.26693,0.14165,2.24029,3.0257,1.85061,0.0018812,0.0018812,0.0018812
8,1345.48,2.3419,2.66475,1.73778,0.39547,0.33333,0.31455,0.13609,2.06967,2.48188,1.69334,0.0018614,0.0018614,0.0018614
9,1533.33,2.23979,2.55298,1.68057,0.36648,0.36508,0.31578,0.14903,2.1423,2.38854,1.66663,0.0018416,0.0018416,0.0018416
10,1688.24,2.26093,2.36566,1.69163,0.66701,0.34921,0.38832,0.16328,2.13992,2.2131,1.72358,0.0018218,0.0018218,0.0018218
11,1841.95,2.18246,2.60624,1.67218,0.45709,0.39683,0.39661,0.20803,2.06623,2.62747,1.70448,0.001802,0.001802,0.001802
12,1992,2.16306,2.15958,1.62767,0.64503,0.38095,0.41292,0.18107,2.1016,2.28478,1.72248,0.0017822,0.0017822,0.0017822
13,2142.25,2.11214,1.96196,1.62669,0.77342,0.37932,0.43963,0.17643,2.16267,2.29324,1.77372,0.0017624,0.0017624,0.0017624
14,2295.37,2.13682,2.13457,1.63329,0.61863,0.42857,0.48233,0.2211,2.00786,2.05577,1.63454,0.0017426,0.0017426,0.0017426
15,2444.82,2.11769,2.07294,1.61969,0.49662,0.47619,0.39733,0.1817,1.9693,2.24118,1.62586,0.0017228,0.0017228,0.0017228
16,2589.62,1.95557,1.90575,1.53363,0.4736,0.49206,0.43852,0.21403,1.92238,1.92388,1.61049,0.001703,0.001703,0.001703
17,2736.8,2.04413,1.92585,1.57241,0.5313,0.35995,0.38042,0.19345,2.05346,2.12347,1.59905,0.0016832,0.0016832,0.0016832
18,2888.92,2.0437,1.94138,1.5488,0.46574,0.42857,0.42751,0.18282,1.98976,1.99601,1.60857,0.0016634,0.0016634,0.0016634
19,8039.78,1.90495,1.822,1.48042,0.84305,0.34119,0.48886,0.22595,1.8808,2.00706,1.51598,0.0016436,0.0016436,0.0016436
20,8183.77,1.91647,1.80403,1.52617,0.64975,0.44444,0.47675,0.28139,1.92223,1.77485,1.61699,0.0016238,0.0016238,0.0016238
21,8327.55,1.87043,1.74281,1.49837,0.64087,0.4127,0.45564,0.22621,1.93758,2.05598,1.61376,0.001604,0.001604,0.001604
22,8479.18,1.94936,1.86005,1.4999,0.75478,0.4127,0.48161,0.28221,1.89031,1.83915,1.60424,0.0015842,0.0015842,0.0015842
23,8627.03,1.90638,1.78866,1.47068,0.40349,0.52381,0.42876,0.18474,1.96839,2.08434,1.60582,0.0015644,0.0015644,0.0015644
24,8771.69,1.8626,1.70389,1.44786,0.61495,0.45638,0.5044,0.20471,2.03156,1.75637,1.65002,0.0015446,0.0015446,0.0015446
25,8915.02,1.79261,1.67102,1.431,0.57841,0.53968,0.56655,0.29299,1.77158,1.57765,1.48869,0.0015248,0.0015248,0.0015248
26,9070.84,1.88748,1.6683,1.47152,0.73732,0.47619,0.56622,0.2649,1.90727,1.78402,1.54742,0.001505,0.001505,0.001505
27,9220.96,1.8451,1.58116,1.44813,0.75851,0.47619,0.59175,0.31385,1.73874,1.58988,1.46938,0.0014852,0.0014852,0.0014852
28,9379.47,1.79284,1.59137,1.42466,0.70738,0.46046,0.53578,0.30275,1.86851,1.78799,1.54794,0.0014654,0.0014654,0.0014654
29,9597,1.74521,1.53132,1.3809,0.73831,0.53743,0.58309,0.27729,1.85864,1.7261,1.50371,0.0014456,0.0014456,0.0014456
30,9763.76,1.74475,1.51517,1.4039,0.68672,0.42857,0.5361,0.31425,1.66472,1.78031,1.42603,0.0014258,0.0014258,0.0014258
31,9917.19,1.71932,1.55516,1.36771,0.55027,0.56329,0.54325,0.27789,1.82766,1.77559,1.56706,0.001406,0.001406,0.001406
