epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,392.451,2.31248,3.88993,1.73716,0.70387,0.33811,0.39145,0.17617,2.14381,3.96664,1.62983,0.000661616,0.000661616,0.000661616
2,796.425,2.17912,2.66605,1.63679,0.44693,0.42494,0.35904,0.1752,2.06708,2.92957,1.67142,0.00130198,0.00130198,0.00130198
3,1176.51,2.1284,2.21848,1.61916,0.57055,0.41232,0.39332,0.18588,2.11615,2.53188,1.64916,0.00191595,0.00191595,0.00191595
4,1624.1,2.06731,2.06014,1.59659,0.5892,0.46121,0.47722,0.24362,2.00052,1.9607,1.66159,0.0018812,0.0018812,0.0018812
5,2042.5,1.99018,1.84679,1.55182,0.70068,0.42241,0.49351,0.22052,2.13117,1.97801,1.64231,0.0018416,0.0018416,0.0018416
6,2394.29,1.97919,1.77414,1.5406,0.69384,0.5431,0.59052,0.31244,1.83016,1.89206,1.48454,0.001802,0.001802,0.001802
7,2820.81,1.94754,1.6952,1.50939,0.75284,0.49138,0.56506,0.30393,1.79744,1.64974,1.49332,0.0017624,0.0017624,0.0017624
8,3204.5,1.90172,1.63153,1.4892,0.68007,0.58621,0.62492,0.31971,1.94241,1.66405,1.6503,0.0017228,0.0017228,0.0017228
9,3626.11,1.85712,1.57613,1.45448,0.68151,0.56262,0.59421,0.31996,1.73011,1.95043,1.43935,0.0016832,0.0016832,0.0016832
10,4116.73,1.83709,1.50573,1.4473,0.65226,0.56897,0.60591,0.30826,1.80939,1.49854,1.57217,0.0016436,0.0016436,0.0016436
11,4549,1.79342,1.4882,1.42584,0.78677,0.53879,0.6577,0.36498,1.79002,1.38076,1.49136,0.001604,0.001604,0.001604
12,4923.64,1.77976,1.43336,1.40361,0.6904,0.61207,0.68202,0.3621,1.87321,1.3961,1.59324,0.0015644,0.0015644,0.0015644
13,5327.66,1.76076,1.40831,1.39088,0.76683,0.59537,0.69239,0.38671,1.62375,1.37023,1.32518,0.0015248,0.0015248,0.0015248
14,5715.9,1.70182,1.32115,1.37288,0.76622,0.64655,0.71716,0.39438,1.73627,1.3565,1.47117,0.0014852,0.0014852,0.0014852
